EVENT_ID,PLAYER_ID,EARNINGS,ORIG_EARNINGS,CURRENCY,PLACEMENT
4332,242,200,344,400000.00000000,KRW,9
4331,242,67,515,600000.00000000,KRW,8
4330,242,46,515,600000.00000000,KRW,7
4329,242,98,515,600000.00000000,KRW,6
4328,242,74,515,600000.00000000,KRW,5
4327,242,66,687,800000.00000000,KRW,4
4326,242,44,687,800000.00000000,KRW,3
4325,242,82,859,1000000.00000000,KRW,2
4324,242,16,1289,1500000.00000000,KRW,1
4387,248,92,1307,1500000.00000000,KRW,32
4386,248,106,1307,1500000.00000000,KRW,31
4385,248,6,1307,1500000.00000000,KRW,30
4384,248,19,1307,1500000.00000000,KRW,29
4383,248,43,1307,1500000.00000000,KRW,28
4382,248,29,1307,1500000.00000000,KRW,27
4381,248,136,1307,1500000.00000000,KRW,26
4380,248,65,1307,1500000.00000000,KRW,25
4379,248,81,1307,1500000.00000000,KRW,24
4378,248,129,1307,1500000.00000000,KRW,23
4377,248,24,1307,1500000.00000000,KRW,22
4376,248,93,1307,1500000.00000000,KRW,21
4375,248,33,1307,1500000.00000000,KRW,20
4374,248,14,1307,1500000.00000000,KRW,19
4373,248,91,1307,1500000.00000000,KRW,18
4372,248,220,1307,1500000.00000000,KRW,17
4371,248,113,1743,2000000.00000000,KRW,16
4370,248,31,1743,2000000.00000000,KRW,15
4369,248,198,1743,2000000.00000000,KRW,14
4368,248,35,1743,2000000.00000000,KRW,13
4367,248,4,1743,2000000.00000000,KRW,12
4366,248,1,1743,2000000.00000000,KRW,11
4365,248,134,1743,2000000.00000000,KRW,10
4364,248,12,1743,2000000.00000000,KRW,9
4363,248,25,2615,3000000.00000000,KRW,8
4362,248,122,2615,3000000.00000000,KRW,7
4361,248,32,2615,3000000.00000000,KRW,6
4360,248,22,2615,3000000.00000000,KRW,5
4359,248,40,4358,5000000.00000000,KRW,4
4358,248,57,4358,5000000.00000000,KRW,3
4357,248,13,17431,20000000.00000000,KRW,2
4356,248,28,43577,50000000.00000000,KRW,1
4450,215,1419,354,400000.00000000,KRW,63
4449,215,109,354,400000.00000000,KRW,62
4448,215,38,354,400000.00000000,KRW,61
4447,215,339,354,400000.00000000,KRW,60
4446,215,166,354,400000.00000000,KRW,59
4445,215,69,354,400000.00000000,KRW,58
4444,215,91,354,400000.00000000,KRW,57
4443,215,136,354,400000.00000000,KRW,56
4442,215,478,354,400000.00000000,KRW,55
4441,215,89,354,400000.00000000,KRW,54
4440,215,128,354,400000.00000000,KRW,53
4439,215,206,354,400000.00000000,KRW,52
4438,215,66,354,400000.00000000,KRW,51
4437,215,18,354,400000.00000000,KRW,50
4436,215,220,354,400000.00000000,KRW,49
4435,215,200,354,400000.00000000,KRW,48
4434,215,92,354,400000.00000000,KRW,47
4433,215,2,354,400000.00000000,KRW,46
4432,215,223,354,400000.00000000,KRW,45
4431,215,549,354,400000.00000000,KRW,44
4430,215,218,354,400000.00000000,KRW,43
4429,215,101,354,400000.00000000,KRW,42
4428,215,90,354,400000.00000000,KRW,41
4427,215,1336,354,400000.00000000,KRW,40
4426,215,81,531,600000.00000000,KRW,39
4425,215,134,531,600000.00000000,KRW,38
4424,215,30,531,600000.00000000,KRW,37
4423,215,17,531,600000.00000000,KRW,36
4422,215,141,531,600000.00000000,KRW,35
4421,215,94,531,600000.00000000,KRW,34
4420,215,93,531,600000.00000000,KRW,33
4419,215,46,531,600000.00000000,KRW,32
4418,215,19,531,600000.00000000,KRW,31
4417,215,43,531,600000.00000000,KRW,30
4416,215,203,531,600000.00000000,KRW,29
4415,215,122,531,600000.00000000,KRW,28
4414,215,86,531,600000.00000000,KRW,27
4413,215,35,531,600000.00000000,KRW,26
4412,215,11,531,600000.00000000,KRW,25
4411,215,98,531,600000.00000000,KRW,24
4410,215,124,708,800000.00000000,KRW,23
4409,215,44,708,800000.00000000,KRW,22
4408,215,6,708,800000.00000000,KRW,21
4407,215,67,708,800000.00000000,KRW,20
4406,215,12,708,800000.00000000,KRW,19
4405,215,65,708,800000.00000000,KRW,18
4404,215,259,708,800000.00000000,KRW,17
4403,215,113,708,800000.00000000,KRW,16
4402,215,31,708,800000.00000000,KRW,15
4401,215,198,708,800000.00000000,KRW,14
4400,215,129,708,800000.00000000,KRW,13
4399,215,14,885,1000000.00000000,KRW,12
4398,215,16,885,1000000.00000000,KRW,11
4397,215,32,885,1000000.00000000,KRW,10
4396,215,4,885,1000000.00000000,KRW,9
4395,215,57,885,1000000.00000000,KRW,8
4394,215,36,885,1000000.00000000,KRW,7
4393,215,34,885,1000000.00000000,KRW,6
4392,215,40,885,1000000.00000000,KRW,5
4391,215,5,885,1000000.00000000,KRW,4
4390,215,77,885,1000000.00000000,KRW,3
4389,215,22,885,1000000.00000000,KRW,2
4388,215,24,885,1000000.00000000,KRW,1
4483,219,29,44277,50000000.00000000,KRW,1
4484,219,1,17711,20000000.00000000,KRW,2
4485,219,82,4428,5000000.00000000,KRW,3
4486,219,13,4428,5000000.00000000,KRW,4
4487,219,28,2657,3000000.00000000,KRW,5
4488,219,33,2657,3000000.00000000,KRW,6
4489,219,106,2657,3000000.00000000,KRW,7
4490,219,74,2657,3000000.00000000,KRW,8
4491,219,129,1771,2000000.00000000,KRW,9
4492,219,22,1771,2000000.00000000,KRW,10
4493,219,113,1771,2000000.00000000,KRW,11
4494,219,40,1771,2000000.00000000,KRW,12
4495,219,36,1771,2000000.00000000,KRW,13
4496,219,57,1771,2000000.00000000,KRW,14
4497,219,44,1771,2000000.00000000,KRW,15
4498,219,25,1771,2000000.00000000,KRW,16
4499,219,35,1328,1500000.00000000,KRW,17
4500,219,98,1328,1500000.00000000,KRW,18
4501,219,31,1328,1500000.00000000,KRW,19
4502,219,198,1328,1500000.00000000,KRW,20
4503,219,14,1328,1500000.00000000,KRW,21
4504,219,16,1328,1500000.00000000,KRW,22
4505,219,19,1328,1500000.00000000,KRW,23
4506,219,220,1328,1500000.00000000,KRW,24
4507,219,4,1328,1500000.00000000,KRW,25
4508,219,12,1328,1500000.00000000,KRW,26
1497,6486,155,2500,2500.00000000,USD,1
1498,6486,170,1500,1500.00000000,USD,2
1499,6486,200,1000,1000.00000000,USD,3
1500,11928,164,15000,15000.00000000,USD,1
1501,11928,26,10000,10000.00000000,USD,2
1502,11928,58,6000,6000.00000000,USD,3
1503,11928,139,4000,4000.00000000,USD,4
1504,11928,172,1300,1300.00000000,USD,5
1505,11928,155,1300,1300.00000000,USD,6
1506,11928,296,1000,1000.00000000,USD,7
1507,11928,208,1000,1000.00000000,USD,8
1508,11928,282,800,800.00000000,USD,9
1509,11928,179,800,800.00000000,USD,10
1510,11928,193,800,800.00000000,USD,11
1511,11928,200,800,800.00000000,USD,12
1512,11928,250,600,600.00000000,USD,13
1513,11928,131,600,600.00000000,USD,14
1514,11928,221,600,600.00000000,USD,15
1515,11928,156,600,600.00000000,USD,16
1516,11928,227,400,400.00000000,USD,17
1517,11928,140,400,400.00000000,USD,18
1518,11928,244,400,400.00000000,USD,19
1519,11928,162,400,400.00000000,USD,20
1520,11928,243,400,400.00000000,USD,21
1521,11928,245,400,400.00000000,USD,22
1522,11928,163,400,400.00000000,USD,23
1523,11928,605,400,400.00000000,USD,24
1524,11928,417,200,200.00000000,USD,25
1525,11928,311,200,200.00000000,USD,26
1526,11928,303,200,200.00000000,USD,27
1527,11928,170,200,200.00000000,USD,28
1528,11928,167,200,200.00000000,USD,29
1529,11928,323,200,200.00000000,USD,30
1530,11928,347,200,200.00000000,USD,31
1531,11928,199,200,200.00000000,USD,32
1532,11926,10,30000,30000.00000000,USD,1
1533,11926,67,12000,12000.00000000,USD,2
1534,11926,28,7000,7000.00000000,USD,3
1535,11926,38,7000,7000.00000000,USD,4
1536,11926,208,3000,3000.00000000,USD,5
1537,11926,126,3000,3000.00000000,USD,6
1538,11926,155,3000,3000.00000000,USD,7
1539,11926,71,3000,3000.00000000,USD,8
1540,11926,106,2000,2000.00000000,USD,9
1541,11926,35,2000,2000.00000000,USD,10
1542,11926,164,2000,2000.00000000,USD,11
1543,11926,61,2000,2000.00000000,USD,12
1544,11926,200,2000,2000.00000000,USD,13
1545,11926,139,2000,2000.00000000,USD,14
1546,11926,8,2000,2000.00000000,USD,15
1547,11926,129,2000,2000.00000000,USD,16
1548,11926,147,1000,1000.00000000,USD,17
1549,11926,170,1000,1000.00000000,USD,18
1550,11926,36,1000,1000.00000000,USD,19
1551,11926,235,1000,1000.00000000,USD,20
1552,11926,11,1000,1000.00000000,USD,21
1553,11926,149,1000,1000.00000000,USD,22
1554,11926,172,1000,1000.00000000,USD,23
1555,11926,461,1000,1000.00000000,USD,24
1556,11926,364,1000,1000.00000000,USD,25
1557,11926,295,1000,1000.00000000,USD,26
1558,11926,243,1000,1000.00000000,USD,27
1559,11926,124,1000,1000.00000000,USD,28
1560,11926,163,1000,1000.00000000,USD,29
1561,11926,121,1000,1000.00000000,USD,30
1562,11926,359,1000,1000.00000000,USD,31
1563,11926,262,1000,1000.00000000,USD,32
1564,11925,106,40000,40000.00000000,USD,1
1565,11925,17,16000,16000.00000000,USD,2
1566,11925,22,7000,7000.00000000,USD,3
1567,11925,28,5000,5000.00000000,USD,4
1568,11925,14,4000,4000.00000000,USD,5
1569,11925,10,4000,4000.00000000,USD,6
1570,11925,19,3000,3000.00000000,USD,7
1571,11925,12,3000,3000.00000000,USD,8
1572,11925,16,2000,2000.00000000,USD,9
1573,11925,2,2000,2000.00000000,USD,10
1574,11925,29,2000,2000.00000000,USD,11
1575,11925,112,2000,2000.00000000,USD,12
1576,11925,47,1500,1500.00000000,USD,13
1577,11925,46,1500,1500.00000000,USD,14
1578,11925,5,1500,1500.00000000,USD,15
1579,11925,36,1500,1500.00000000,USD,16
1580,11925,126,1000,1000.00000000,USD,17
1581,11925,155,1000,1000.00000000,USD,18
1582,11925,57,1000,1000.00000000,USD,19
1583,11925,164,1000,1000.00000000,USD,20
1584,11924,1,40000,40000.00000000,USD,1
1585,11924,8,20000,20000.00000000,USD,2
1586,11924,19,11000,11000.00000000,USD,3
1587,11924,12,7000,7000.00000000,USD,4
1588,11924,9,4000,4000.00000000,USD,5
1589,11924,18,4000,4000.00000000,USD,6
1590,11924,61,2000,2000.00000000,USD,7
1591,11924,4,2000,2000.00000000,USD,8
1592,11924,11,1000,1000.00000000,USD,9
1593,11924,59,1000,1000.00000000,USD,10
1594,11924,38,1000,1000.00000000,USD,11
1595,11924,2,1000,1000.00000000,USD,12
1596,11924,129,500,500.00000000,USD,13
1597,11924,160,500,500.00000000,USD,14
1598,11924,15,500,500.00000000,USD,15
1599,11924,111,500,500.00000000,USD,16
1600,11924,6,300,300.00000000,USD,17
1601,11924,54,300,300.00000000,USD,18
1602,11924,142,300,300.00000000,USD,19
1603,11924,17,300,300.00000000,USD,20
1604,11924,23,300,300.00000000,USD,21
1605,11924,106,300,300.00000000,USD,22
1606,11924,3,300,300.00000000,USD,23
1607,11924,51,300,300.00000000,USD,24
1608,11924,36,200,200.00000000,USD,25
1609,11924,35,200,200.00000000,USD,26
1610,11924,21,200,200.00000000,USD,27
1611,11924,48,200,200.00000000,USD,28
1612,11924,52,200,200.00000000,USD,29
1613,11924,10,200,200.00000000,USD,30
1614,11924,434,200,200.00000000,USD,31
1615,11924,138,200,200.00000000,USD,32
1616,8109,11,5000,5000.00000000,USD,1
1617,8109,4,2500,2500.00000000,USD,2
1618,8109,28,1500,1500.00000000,USD,3
1619,8109,219,1000,1000.00000000,USD,4
1620,11784,261,500,500.00000000,USD,1
1621,11784,219,350,350.00000000,USD,2
1622,11784,8,175,175.00000000,USD,3
1623,11784,61,175,175.00000000,USD,4
1624,11784,245,100,100.00000000,USD,5
1625,11784,316,100,100.00000000,USD,6
1626,11784,243,100,100.00000000,USD,7
1627,11784,244,100,100.00000000,USD,8
1628,11784,323,50,50.00000000,USD,9
1629,11784,358,50,50.00000000,USD,10
1630,11784,121,50,50.00000000,USD,11
1631,11784,987,50,50.00000000,USD,12
1632,11784,235,50,50.00000000,USD,13
1633,11784,364,50,50.00000000,USD,14
1634,11784,3166,50,50.00000000,USD,15
1635,11784,200,50,50.00000000,USD,16
1636,11760,29,5000,5000.00000000,USD,1
1637,11760,2,2500,2500.00000000,USD,2
1638,11760,11,2000,2000.00000000,USD,3
1639,11760,44,1000,1000.00000000,USD,4
1640,11760,139,500,500.00000000,USD,5
1641,11760,3,500,500.00000000,USD,6
1642,11760,19,250,250.00000000,USD,7
1643,11760,200,250,250.00000000,USD,8
1644,8871,50,5000,5000.00000000,USD,1
1645,8871,23,2500,2500.00000000,USD,2
1646,8871,219,1500,1500.00000000,USD,3
1647,8871,144,1000,1000.00000000,USD,4
1648,7608,339,150,150.00000000,USD,1
1649,7608,677,70,70.00000000,USD,2
1650,7608,215,40,40.00000000,USD,3
1651,7608,118,40,40.00000000,USD,4
4578,192,3,357,400000.00000000,KRW,64
4577,192,19,357,400000.00000000,KRW,63
4576,192,151,357,400000.00000000,KRW,62
4575,192,145,357,400000.00000000,KRW,61
4574,192,94,357,400000.00000000,KRW,60
4573,192,160,357,400000.00000000,KRW,59
4572,192,195,357,400000.00000000,KRW,58
4571,192,198,357,400000.00000000,KRW,57
4570,192,203,357,400000.00000000,KRW,56
4569,192,116,357,400000.00000000,KRW,55
4568,192,259,357,400000.00000000,KRW,54
4567,192,138,357,400000.00000000,KRW,53
4566,192,100,357,400000.00000000,KRW,52
4565,192,15,357,400000.00000000,KRW,51
4564,192,12,357,400000.00000000,KRW,50
4563,192,132,357,400000.00000000,KRW,49
4562,192,129,357,400000.00000000,KRW,48
4561,192,155,357,400000.00000000,KRW,47
4560,192,494,357,400000.00000000,KRW,46
4559,192,30,357,400000.00000000,KRW,45
4558,192,492,357,400000.00000000,KRW,44
4557,192,31,357,400000.00000000,KRW,43
4556,192,122,357,400000.00000000,KRW,42
4555,192,297,357,400000.00000000,KRW,41
4554,192,2,535,600000.00000000,KRW,40
4553,192,40,535,600000.00000000,KRW,39
4552,192,114,535,600000.00000000,KRW,38
4551,192,77,535,600000.00000000,KRW,37
4550,192,86,535,600000.00000000,KRW,36
4549,192,59,535,600000.00000000,KRW,35
4548,192,46,535,600000.00000000,KRW,34
4547,192,98,535,600000.00000000,KRW,33
4546,192,141,535,600000.00000000,KRW,32
4545,192,67,535,600000.00000000,KRW,31
4544,192,42,535,600000.00000000,KRW,30
4543,192,157,535,600000.00000000,KRW,29
4542,192,65,535,600000.00000000,KRW,28
4541,192,124,535,600000.00000000,KRW,27
4540,192,34,535,600000.00000000,KRW,26
4539,192,27,535,600000.00000000,KRW,25
4538,192,49,714,800000.00000000,KRW,24
4537,192,24,714,800000.00000000,KRW,23
4536,192,113,714,800000.00000000,KRW,22
4535,192,74,714,800000.00000000,KRW,21
4534,192,57,714,800000.00000000,KRW,20
4533,192,134,714,800000.00000000,KRW,19
4532,192,17,714,800000.00000000,KRW,18
4531,192,32,714,800000.00000000,KRW,17
4530,192,190,714,800000.00000000,KRW,16
4529,192,1,714,800000.00000000,KRW,15
4528,192,38,714,800000.00000000,KRW,14
4527,192,9,714,800000.00000000,KRW,13
4526,192,93,892,1000000.00000000,KRW,12
4525,192,22,892,1000000.00000000,KRW,11
4524,192,14,892,1000000.00000000,KRW,10
4523,192,81,892,1000000.00000000,KRW,9
4522,192,11,892,1000000.00000000,KRW,8
4521,192,29,892,1000000.00000000,KRW,7
4520,192,6,892,1000000.00000000,KRW,6
4519,192,35,892,1000000.00000000,KRW,5
4518,192,82,892,1000000.00000000,KRW,4
4517,192,21,892,1000000.00000000,KRW,3
4516,192,16,892,1000000.00000000,KRW,2
4515,192,13,892,1000000.00000000,KRW,1
4610,196,24,1344,1500000.00000000,KRW,32
4609,196,93,1344,1500000.00000000,KRW,31
4608,196,77,1344,1500000.00000000,KRW,30
4607,196,40,1344,1500000.00000000,KRW,29
4606,196,46,1344,1500000.00000000,KRW,28
4605,196,74,1344,1500000.00000000,KRW,27
4604,196,98,1344,1500000.00000000,KRW,26
4603,196,81,1344,1500000.00000000,KRW,25
4602,196,12,1344,1500000.00000000,KRW,24
4601,196,141,1344,1500000.00000000,KRW,23
4600,196,155,1344,1500000.00000000,KRW,22
4599,196,67,1344,1500000.00000000,KRW,21
4598,196,34,1344,1500000.00000000,KRW,20
4597,196,1,1344,1500000.00000000,KRW,19
4596,196,27,1344,1500000.00000000,KRW,18
4595,196,124,1344,1500000.00000000,KRW,17
4594,196,22,1792,2000000.00000000,KRW,16
4593,196,14,1792,2000000.00000000,KRW,15
4592,196,57,1792,2000000.00000000,KRW,14
4591,196,29,1792,2000000.00000000,KRW,13
4590,196,32,1792,2000000.00000000,KRW,12
4589,196,82,1792,2000000.00000000,KRW,11
4588,196,16,1792,2000000.00000000,KRW,10
4587,196,13,1792,2000000.00000000,KRW,9
4586,196,5,2688,3000000.00000000,KRW,8
4585,196,33,2688,3000000.00000000,KRW,7
4584,196,36,2688,3000000.00000000,KRW,6
4583,196,28,2688,3000000.00000000,KRW,5
4582,196,44,4481,5000000.00000000,KRW,4
4581,196,106,4481,5000000.00000000,KRW,3
4580,196,43,17922,20000000.00000000,KRW,2
4579,196,4,44806,50000000.00000000,KRW,1
4673,163,64,344,400000.00000000,KRW,63
4672,163,143,344,400000.00000000,KRW,62
4671,163,133,344,400000.00000000,KRW,61
4670,163,218,344,400000.00000000,KRW,60
4669,163,649,344,400000.00000000,KRW,59
4668,163,297,344,400000.00000000,KRW,58
4667,163,87,344,400000.00000000,KRW,57
4666,163,93,344,400000.00000000,KRW,56
4665,163,77,344,400000.00000000,KRW,55
4664,163,105,344,400000.00000000,KRW,54
4663,163,141,344,400000.00000000,KRW,53
4662,163,190,344,400000.00000000,KRW,52
4661,163,86,344,400000.00000000,KRW,51
4660,163,207,344,400000.00000000,KRW,50
4659,163,67,344,400000.00000000,KRW,49
4658,163,129,344,400000.00000000,KRW,48
4657,163,478,344,400000.00000000,KRW,47
4656,163,74,344,400000.00000000,KRW,46
4655,163,100,344,400000.00000000,KRW,45
4654,163,1458,344,400000.00000000,KRW,44
4653,163,157,344,400000.00000000,KRW,43
4652,163,339,344,400000.00000000,KRW,42
4651,163,90,344,400000.00000000,KRW,41
4650,163,113,515,600000.00000000,KRW,40
4649,163,35,515,600000.00000000,KRW,39
4648,163,19,515,600000.00000000,KRW,38
4647,163,33,515,600000.00000000,KRW,37
4646,163,116,515,600000.00000000,KRW,36
4645,163,22,515,600000.00000000,KRW,35
4644,163,229,515,600000.00000000,KRW,34
4643,163,195,515,600000.00000000,KRW,33
4642,163,16,515,600000.00000000,KRW,32
4641,163,81,515,600000.00000000,KRW,31
4640,163,69,515,600000.00000000,KRW,30
4639,163,56,515,600000.00000000,KRW,29
4638,163,21,515,600000.00000000,KRW,28
4637,163,46,515,600000.00000000,KRW,27
4636,163,42,515,600000.00000000,KRW,26
4635,163,114,515,600000.00000000,KRW,25
4634,163,34,687,800000.00000000,KRW,24
4633,163,36,687,800000.00000000,KRW,23
4632,163,49,687,800000.00000000,KRW,22
4631,163,28,687,800000.00000000,KRW,21
4630,163,47,687,800000.00000000,KRW,20
4629,163,14,687,800000.00000000,KRW,19
4628,163,12,687,800000.00000000,KRW,18
4627,163,65,687,800000.00000000,KRW,17
4626,163,106,687,800000.00000000,KRW,16
4625,163,29,687,800000.00000000,KRW,15
4624,163,59,687,800000.00000000,KRW,14
4623,163,134,687,800000.00000000,KRW,13
4622,163,40,859,1000000.00000000,KRW,12
4621,163,57,859,1000000.00000000,KRW,11
4620,163,2,859,1000000.00000000,KRW,10
4619,163,24,859,1000000.00000000,KRW,9
4618,163,38,859,1000000.00000000,KRW,8
4617,163,98,859,1000000.00000000,KRW,7
4616,163,9,859,1000000.00000000,KRW,6
4615,163,44,859,1000000.00000000,KRW,5
4614,163,1,859,1000000.00000000,KRW,4
4613,163,18,859,1000000.00000000,KRW,3
4612,163,43,859,1000000.00000000,KRW,2
4611,163,4,859,1000000.00000000,KRW,1
4705,167,19,1281,1500000.00000000,KRW,32
4704,167,34,1281,1500000.00000000,KRW,31
4703,167,33,1281,1500000.00000000,KRW,30
4702,167,35,1281,1500000.00000000,KRW,29
4701,167,93,1281,1500000.00000000,KRW,28
4700,167,28,1281,1500000.00000000,KRW,27
4699,167,141,1281,1500000.00000000,KRW,26
4698,167,22,1281,1500000.00000000,KRW,25
4697,167,44,1281,1500000.00000000,KRW,24
4696,167,16,1281,1500000.00000000,KRW,23
4695,167,106,1281,1500000.00000000,KRW,22
4694,167,81,1281,1500000.00000000,KRW,21
4693,167,59,1281,1500000.00000000,KRW,20
4692,167,21,1281,1500000.00000000,KRW,19
4691,167,4,1281,1500000.00000000,KRW,18
4690,167,29,1281,1500000.00000000,KRW,17
4689,167,36,1708,2000000.00000000,KRW,16
4688,167,49,1708,2000000.00000000,KRW,15
4687,167,38,1708,2000000.00000000,KRW,14
4686,167,14,1708,2000000.00000000,KRW,13
4685,167,65,1708,2000000.00000000,KRW,12
4684,167,1,1708,2000000.00000000,KRW,11
4683,167,43,1708,2000000.00000000,KRW,10
4682,167,134,1708,2000000.00000000,KRW,9
4681,167,6,2561,3000000.00000000,KRW,8
4680,167,32,2561,3000000.00000000,KRW,7
4679,167,82,2561,3000000.00000000,KRW,6
4678,167,89,2561,3000000.00000000,KRW,5
4677,167,11,4269,5000000.00000000,KRW,4
4676,167,5,4269,5000000.00000000,KRW,3
4675,167,17,17076,20000000.00000000,KRW,2
4674,167,13,42690,50000000.00000000,KRW,1
4768,129,134,348,400000.00000000,KRW,63
4767,129,84,348,400000.00000000,KRW,62
4766,129,112,348,400000.00000000,KRW,61
4765,129,69,348,400000.00000000,KRW,60
4764,129,65,348,400000.00000000,KRW,59
4763,129,1507,348,400000.00000000,KRW,58
4762,129,229,348,400000.00000000,KRW,57
4761,129,39,348,400000.00000000,KRW,56
4760,129,371,348,400000.00000000,KRW,55
4759,129,195,348,400000.00000000,KRW,54
4758,129,81,348,400000.00000000,KRW,53
4757,129,132,348,400000.00000000,KRW,52
4756,129,31,348,400000.00000000,KRW,51
4755,129,85,348,400000.00000000,KRW,50
4754,129,142,348,400000.00000000,KRW,49
4753,129,59,348,400000.00000000,KRW,48
4752,129,254,348,400000.00000000,KRW,47
4751,129,517,348,400000.00000000,KRW,46
4750,129,30,348,400000.00000000,KRW,45
4749,129,100,348,400000.00000000,KRW,44
4748,129,482,348,400000.00000000,KRW,43
4747,129,236,348,400000.00000000,KRW,42
4746,129,136,348,400000.00000000,KRW,41
4745,129,339,348,400000.00000000,KRW,40
4744,129,114,522,600000.00000000,KRW,39
4743,129,49,522,600000.00000000,KRW,38
4742,129,3,522,600000.00000000,KRW,37
4741,129,82,522,600000.00000000,KRW,36
4740,129,113,522,600000.00000000,KRW,35
4739,129,98,522,600000.00000000,KRW,34
4738,129,9,522,600000.00000000,KRW,33
4737,129,40,522,600000.00000000,KRW,32
4736,129,139,522,600000.00000000,KRW,31
4735,129,105,522,600000.00000000,KRW,30
4734,129,12,522,600000.00000000,KRW,29
4733,129,29,522,600000.00000000,KRW,28
4732,129,33,522,600000.00000000,KRW,27
4731,129,34,522,600000.00000000,KRW,26
4730,129,11,522,600000.00000000,KRW,25
4729,129,62,696,800000.00000000,KRW,24
4728,129,35,696,800000.00000000,KRW,23
4727,129,32,696,800000.00000000,KRW,22
4726,129,106,696,800000.00000000,KRW,21
4725,129,24,696,800000.00000000,KRW,20
4724,129,15,696,800000.00000000,KRW,19
4723,129,56,696,800000.00000000,KRW,18
4722,129,116,696,800000.00000000,KRW,17
4721,129,44,696,800000.00000000,KRW,16
4720,129,2,696,800000.00000000,KRW,15
4719,129,38,696,800000.00000000,KRW,14
4718,129,8,696,800000.00000000,KRW,13
4717,129,19,870,1000000.00000000,KRW,12
4716,129,1,870,1000000.00000000,KRW,11
4715,129,54,870,1000000.00000000,KRW,10
4714,129,5,870,1000000.00000000,KRW,9
4713,129,42,870,1000000.00000000,KRW,8
4712,129,43,870,1000000.00000000,KRW,7
4711,129,46,870,1000000.00000000,KRW,6
4710,129,14,870,1000000.00000000,KRW,5
4709,129,17,870,1000000.00000000,KRW,4
4708,129,16,870,1000000.00000000,KRW,3
4707,129,13,870,1000000.00000000,KRW,2
4706,129,28,870,1000000.00000000,KRW,1
4800,130,1,1317,1500000.00000000,KRW,32
4799,130,114,1317,1500000.00000000,KRW,31
4798,130,82,1317,1500000.00000000,KRW,30
4797,130,49,1317,1500000.00000000,KRW,29
4796,130,98,1317,1500000.00000000,KRW,28
4795,130,5,1317,1500000.00000000,KRW,27
4794,130,9,1317,1500000.00000000,KRW,26
4793,130,57,1317,1500000.00000000,KRW,25
4792,130,116,1317,1500000.00000000,KRW,24
4791,130,40,1317,1500000.00000000,KRW,23
4790,130,44,1317,1500000.00000000,KRW,22
4789,130,139,1317,1500000.00000000,KRW,21
4788,130,38,1317,1500000.00000000,KRW,20
4787,130,2,1317,1500000.00000000,KRW,19
4786,130,11,1317,1500000.00000000,KRW,18
4785,130,16,1317,1500000.00000000,KRW,17
4784,130,35,1756,2000000.00000000,KRW,16
4783,130,32,1756,2000000.00000000,KRW,15
4782,130,24,1756,2000000.00000000,KRW,14
4781,130,43,1756,2000000.00000000,KRW,13
4780,130,14,1756,2000000.00000000,KRW,12
4779,130,17,1756,2000000.00000000,KRW,11
4778,130,13,1756,2000000.00000000,KRW,10
4777,130,8,1756,2000000.00000000,KRW,9
4776,130,89,2635,3000000.00000000,KRW,8
4775,130,6,2635,3000000.00000000,KRW,7
4774,130,22,2635,3000000.00000000,KRW,6
4773,130,18,2635,3000000.00000000,KRW,5
4772,130,4,4391,5000000.00000000,KRW,4
4771,130,47,4391,5000000.00000000,KRW,3
4770,130,36,17564,20000000.00000000,KRW,2
4769,130,21,43911,50000000.00000000,KRW,1
4864,78,38,362,400000.00000000,KRW,64
4863,78,82,362,400000.00000000,KRW,63
4862,78,63,362,400000.00000000,KRW,62
4861,78,98,362,400000.00000000,KRW,61
4860,78,29,362,400000.00000000,KRW,60
4859,78,22,362,400000.00000000,KRW,59
4858,78,71,362,400000.00000000,KRW,58
4857,78,407,362,400000.00000000,KRW,57
4856,78,89,362,400000.00000000,KRW,56
4855,78,113,362,400000.00000000,KRW,55
4854,78,154,362,400000.00000000,KRW,54
4853,78,58,362,400000.00000000,KRW,53
4852,78,91,362,400000.00000000,KRW,52
4851,78,1544,362,400000.00000000,KRW,51
4850,78,109,362,400000.00000000,KRW,50
4849,78,39,362,400000.00000000,KRW,49
4848,78,933,362,400000.00000000,KRW,48
4847,78,73,362,400000.00000000,KRW,47
4846,78,61,362,400000.00000000,KRW,46
4845,78,1403,362,400000.00000000,KRW,45
4844,78,117,362,400000.00000000,KRW,44
4843,78,114,362,400000.00000000,KRW,43
4842,78,137,362,400000.00000000,KRW,42
4841,78,116,362,400000.00000000,KRW,41
4840,78,59,543,600000.00000000,KRW,40
4839,78,32,543,600000.00000000,KRW,39
4838,78,12,543,600000.00000000,KRW,38
4837,78,340,543,600000.00000000,KRW,37
4836,78,24,543,600000.00000000,KRW,36
4835,78,28,543,600000.00000000,KRW,35
4834,78,55,543,600000.00000000,KRW,34
4833,78,198,543,600000.00000000,KRW,33
4832,78,47,543,600000.00000000,KRW,32
4831,78,36,543,600000.00000000,KRW,31
4830,78,43,543,600000.00000000,KRW,30
4829,78,37,543,600000.00000000,KRW,29
4828,78,54,543,600000.00000000,KRW,28
4827,78,5,543,600000.00000000,KRW,27
4826,78,35,543,600000.00000000,KRW,26
4825,78,62,543,600000.00000000,KRW,25
4824,78,177,724,800000.00000000,KRW,24
4823,78,40,724,800000.00000000,KRW,23
4822,78,21,724,800000.00000000,KRW,22
4821,78,318,724,800000.00000000,KRW,21
4820,78,370,724,800000.00000000,KRW,20
